Прибор: ;Hydra-L (05); ; Интервал: ;2024-06-20 00:00:00; / ;2024-06-20 23:45:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2024-06-20 00:00:55;28.27;742.57;39.25;
2024-06-20 00:01:55;28.26;742.6;39.28;
2024-06-20 00:02:55;28.26;742.54;39.28;
2024-06-20 00:03:56;28.26;742.57;39.28;
2024-06-20 00:04:56;28.26;742.53;39.29;
2024-06-20 00:05:56;28.26;742.55;39.32;
2024-06-20 00:06:56;28.25;742.52;39.26;
2024-06-20 00:07:56;28.25;742.53;39.3;
2024-06-20 00:08:56;28.25;742.49;39.29;
2024-06-20 00:09:56;28.25;742.44;39.29;
2024-06-20 00:10:56;28.25;742.45;39.31;
2024-06-20 00:11:56;28.25;742.42;39.31;
2024-06-20 00:12:56;28.24;742.41;39.32;
2024-06-20 00:13:56;28.25;742.34;39.3;
2024-06-20 00:14:56;28.25;742.34;39.29;
2024-06-20 00:15:57;28.25;742.33;39.29;
2024-06-20 00:16:56;28.25;742.34;39.33;
2024-06-20 00:17:56;28.25;742.35;39.29;
2024-06-20 00:18:57;28.24;742.35;39.32;
2024-06-20 00:19:57;28.25;742.33;39.31;
2024-06-20 00:20:57;28.24;742.36;39.32;
2024-06-20 00:21:57;28.24;742.37;39.32;
2024-06-20 00:22:57;28.24;742.39;39.36;
2024-06-20 00:23:57;28.23;742.4;39.34;
2024-06-20 00:24:57;28.24;742.39;39.33;
2024-06-20 00:25:57;28.23;742.41;39.36;
2024-06-20 00:26:57;28.23;742.4;39.33;
2024-06-20 00:27:57;28.23;742.38;39.33;
2024-06-20 00:28:57;28.23;742.39;39.34;
2024-06-20 00:29:57;28.23;742.4;39.33;
2024-06-20 00:30:57;28.23;742.36;39.35;
2024-06-20 00:31:57;28.23;742.37;39.33;
2024-06-20 00:32:57;28.23;742.35;39.32;
2024-06-20 00:33:57;28.23;742.31;39.32;
2024-06-20 00:34:57;28.23;742.32;39.3;
2024-06-20 00:35:58;28.24;742.31;39.28;
2024-06-20 00:36:58;28.24;742.3;39.29;
2024-06-20 00:37:58;28.24;742.29;39.29;
2024-06-20 00:38:58;28.24;742.29;39.29;
2024-06-20 00:39:58;28.23;742.24;39.29;
2024-06-20 00:40:58;28.23;742.25;39.3;
2024-06-20 00:41:58;28.23;742.23;39.3;
2024-06-20 00:42:58;28.23;742.22;39.3;
2024-06-20 00:43:58;28.22;742.2;39.29;
2024-06-20 00:44:58;28.22;742.21;39.31;
2024-06-20 00:45:58;28.22;742.19;39.31;
2024-06-20 00:46:58;28.22;742.21;39.31;
2024-06-20 00:47:59;28.21;742.21;39.33;
2024-06-20 00:48:59;28.21;742.14;39.31;
2024-06-20 00:49:59;28.21;742.15;39.31;
2024-06-20 00:50:59;28.21;742.13;39.33;
2024-06-20 00:51:59;28.21;742.15;39.31;
2024-06-20 00:52:59;28.21;742.13;39.3;
2024-06-20 00:53:59;28.21;742.09;39.3;
2024-06-20 00:54:59;28.21;742.03;39.28;
2024-06-20 00:55:59;28.21;742.05;39.3;
2024-06-20 00:56:59;28.21;742.07;39.31;
2024-06-20 00:57:59;28.21;742.04;39.33;
2024-06-20 00:58:59;28.2;742.02;39.28;
2024-06-20 00:59:59;28.2;742.03;39.32;
2024-06-20 01:00:59;28.2;742.04;39.31;
2024-06-20 01:01:59;28.21;742.05;39.28;
2024-06-20 01:02:59;28.2;741.94;39.28;
2024-06-20 01:03:59;28.2;741.97;39.32;
2024-06-20 01:04:59;28.2;742.01;39.31;
2024-06-20 01:05:59;28.21;742.01;39.3;
2024-06-20 01:06:59;28.2;742.04;39.32;
2024-06-20 01:07:59;28.2;742.05;39.31;
2024-06-20 01:09:00;28.2;742.03;39.31;
2024-06-20 01:10:00;28.19;742.05;39.34;
2024-06-20 01:11:00;28.2;742.06;39.3;
2024-06-20 01:12:00;28.19;742.08;39.33;
2024-06-20 01:13:00;28.19;742.04;39.33;
2024-06-20 01:14:00;28.19;742.08;39.31;
2024-06-20 01:15:00;28.19;742.07;39.32;
2024-06-20 01:16:01;28.19;742.05;39.31;
2024-06-20 01:17:00;28.19;742.11;39.34;
2024-06-20 01:18:01;28.19;742;39.32;
2024-06-20 01:19:00;28.19;742.04;39.31;
2024-06-20 01:20:00;28.2;742.13;39.34;
2024-06-20 01:21:00;28.19;742.06;39.35;
2024-06-20 01:22:00;28.19;742.01;39.32;
2024-06-20 01:23:01;28.2;742.08;39.35;
2024-06-20 01:24:01;28.2;742.04;39.31;
2024-06-20 01:25:01;28.19;742.05;39.32;
2024-06-20 01:26:01;28.19;741.98;39.32;
2024-06-20 01:27:01;28.19;741.99;39.31;
2024-06-20 01:28:01;28.19;742;39.35;
2024-06-20 01:29:01;28.19;741.98;39.34;
2024-06-20 01:30:01;28.18;741.96;39.34;
2024-06-20 01:31:01;28.19;741.97;39.34;
2024-06-20 01:32:01;28.19;741.96;39.34;
2024-06-20 01:33:01;28.17;741.98;39.36;
2024-06-20 01:34:01;28.17;741.92;39.35;
2024-06-20 01:35:01;28.18;741.94;39.36;
2024-06-20 01:36:02;28.18;741.88;39.38;
2024-06-20 01:37:02;28.17;741.88;39.38;
2024-06-20 01:38:02;28.17;741.85;39.35;
2024-06-20 01:39:02;28.17;741.82;39.4;
2024-06-20 01:40:03;28.17;741.79;39.39;
2024-06-20 01:41:02;28.17;741.77;39.36;
2024-06-20 01:42:02;28.17;741.75;39.39;
2024-06-20 01:43:02;28.16;741.7;39.4;
2024-06-20 01:44:02;28.16;741.63;39.4;
2024-06-20 01:45:03;28.16;741.66;39.4;
2024-06-20 01:46:03;28.16;741.67;39.39;
2024-06-20 01:47:03;28.16;741.66;39.41;
2024-06-20 01:48:03;28.16;741.67;39.38;
2024-06-20 01:49:03;28.16;741.58;39.43;
2024-06-20 01:50:04;28.15;741.55;39.36;
2024-06-20 01:51:03;28.16;741.55;39.35;
2024-06-20 01:52:03;28.16;741.62;39.38;
2024-06-20 01:53:03;28.15;741.57;39.37;
2024-06-20 01:54:03;28.16;741.57;39.37;
2024-06-20 01:55:03;28.16;741.54;39.37;
2024-06-20 01:56:03;28.16;741.51;39.36;
2024-06-20 01:57:03;28.16;741.5;39.38;
2024-06-20 01:58:03;28.15;741.49;39.4;
2024-06-20 01:59:04;28.15;741.5;39.38;
2024-06-20 02:00:04;28.14;741.48;39.41;
2024-06-20 02:01:04;28.15;741.49;39.38;
2024-06-20 02:02:04;28.15;741.53;39.42;
2024-06-20 02:03:04;28.14;741.5;39.42;
2024-06-20 02:04:04;28.14;741.51;39.38;
2024-06-20 02:05:04;28.14;741.53;39.42;
2024-06-20 02:06:04;28.15;741.52;39.43;
2024-06-20 02:07:04;28.14;741.47;39.42;
2024-06-20 02:08:04;28.15;741.44;39.38;
2024-06-20 02:09:04;28.15;741.43;39.43;
2024-06-20 02:10:05;28.15;741.45;39.41;
2024-06-20 02:11:05;28.15;741.44;39.42;
2024-06-20 02:12:05;28.15;741.44;39.43;
2024-06-20 02:13:05;28.15;741.42;39.43;
2024-06-20 02:14:05;28.15;741.42;39.43;
2024-06-20 02:15:06;28.15;741.35;39.41;
2024-06-20 02:16:05;28.15;741.39;39.45;
2024-06-20 02:17:05;28.14;741.4;39.47;
2024-06-20 02:18:05;28.14;741.35;39.45;
2024-06-20 02:19:05;28.14;741.33;39.45;
2024-06-20 02:20:05;28.14;741.35;39.45;
2024-06-20 02:21:05;28.14;741.37;39.48;
2024-06-20 02:22:05;28.14;741.41;39.47;
2024-06-20 02:23:06;28.14;741.35;39.48;
2024-06-20 02:24:06;28.14;741.38;39.47;
2024-06-20 02:25:06;28.14;741.36;39.48;
2024-06-20 02:26:06;28.14;741.35;39.48;
2024-06-20 02:27:06;28.13;741.32;39.49;
2024-06-20 02:28:06;28.14;741.32;39.49;
2024-06-20 02:29:06;28.13;741.31;39.47;
2024-06-20 02:30:06;28.13;741.33;39.51;
2024-06-20 02:31:06;28.13;741.31;39.51;
2024-06-20 02:32:06;28.14;741.35;39.5;
2024-06-20 02:33:07;28.13;741.33;39.51;
2024-06-20 02:34:07;28.12;741.3;39.53;
2024-06-20 02:35:07;28.12;741.27;39.51;
2024-06-20 02:36:07;28.12;741.32;39.53;
2024-06-20 02:37:07;28.12;741.31;39.53;
2024-06-20 02:38:07;28.12;741.31;39.53;
2024-06-20 02:39:07;28.12;741.32;39.54;
2024-06-20 02:40:07;28.12;741.32;39.56;
2024-06-20 02:41:07;28.12;741.29;39.56;
2024-06-20 02:42:07;28.11;741.31;39.58;
2024-06-20 02:43:07;28.11;741.3;39.58;
2024-06-20 02:44:07;28.12;741.24;39.57;
2024-06-20 02:45:07;28.12;741.27;39.54;
2024-06-20 02:46:07;28.11;741.26;39.54;
2024-06-20 02:47:08;28.12;741.24;39.56;
2024-06-20 02:48:08;28.11;741.18;39.6;
2024-06-20 02:49:08;28.12;741.2;39.58;
2024-06-20 02:50:08;28.12;741.21;39.58;
2024-06-20 02:51:08;28.12;741.2;39.58;
2024-06-20 02:52:08;28.11;741.15;39.59;
2024-06-20 02:53:08;28.11;741.16;39.63;
2024-06-20 02:54:08;28.11;741.19;39.63;
2024-06-20 02:55:08;28.11;741.14;39.6;
2024-06-20 02:56:08;28.11;741.17;39.63;
2024-06-20 02:57:08;28.11;741.09;39.63;
2024-06-20 02:58:08;28.1;741.04;39.65;
2024-06-20 02:59:08;28.1;741.09;39.65;
2024-06-20 03:00:09;28.1;741.06;39.66;
2024-06-20 03:01:09;28.1;741.06;39.66;
2024-06-20 03:02:09;28.1;741.09;39.68;
2024-06-20 03:03:09;28.1;741.11;39.67;
2024-06-20 03:04:09;28.1;741.06;39.67;
2024-06-20 03:05:09;28.09;741.01;39.68;
2024-06-20 03:06:09;28.1;741.03;39.67;
2024-06-20 03:07:09;28.1;741.02;39.69;
2024-06-20 03:08:09;28.11;741.06;39.68;
2024-06-20 03:09:09;28.1;741.03;39.71;
2024-06-20 03:10:09;28.1;740.98;39.72;
2024-06-20 03:11:09;28.09;740.95;39.73;
2024-06-20 03:12:09;28.09;740.98;39.72;
2024-06-20 03:13:09;28.09;740.95;39.74;
2024-06-20 03:14:09;28.1;740.92;39.74;
2024-06-20 03:15:10;28.1;740.91;39.73;
2024-06-20 03:16:10;28.09;740.91;39.74;
2024-06-20 03:17:10;28.09;740.91;39.74;
2024-06-20 03:18:10;28.1;740.85;39.75;
2024-06-20 03:19:10;28.09;740.89;39.76;
2024-06-20 03:20:11;28.1;740.82;39.75;
2024-06-20 03:21:10;28.09;740.8;39.8;
2024-06-20 03:22:10;28.09;740.78;39.81;
2024-06-20 03:23:10;28.09;740.75;39.79;
2024-06-20 03:24:10;28.09;740.8;39.82;
2024-06-20 03:25:10;28.09;740.77;39.81;
2024-06-20 03:26:10;28.09;740.76;39.8;
2024-06-20 03:27:10;28.09;740.73;39.81;
2024-06-20 03:28:10;28.09;740.75;39.83;
2024-06-20 03:29:11;28.09;740.75;39.81;
2024-06-20 03:30:11;28.09;740.72;39.81;
2024-06-20 03:31:11;28.08;740.71;39.84;
2024-06-20 03:32:11;28.08;740.67;39.86;
2024-06-20 03:33:11;28.09;740.69;39.83;
2024-06-20 03:34:11;28.09;740.67;39.87;
2024-06-20 03:35:11;28.08;740.63;39.88;
2024-06-20 03:36:11;28.08;740.65;39.88;
2024-06-20 03:37:11;28.09;740.66;39.84;
2024-06-20 03:38:11;28.08;740.65;39.89;
2024-06-20 03:39:11;28.09;740.62;39.88;
2024-06-20 03:40:11;28.08;740.59;39.87;
2024-06-20 03:41:11;28.08;740.59;39.88;
2024-06-20 03:42:11;28.08;740.59;39.89;
2024-06-20 03:43:11;28.08;740.57;39.9;
2024-06-20 03:44:11;28.08;740.56;39.89;
2024-06-20 03:45:11;28.08;740.57;39.89;
2024-06-20 03:46:11;28.09;740.56;39.9;
2024-06-20 03:47:12;28.08;740.53;39.91;
2024-06-20 03:48:12;28.08;740.57;39.91;
2024-06-20 03:49:12;28.08;740.53;39.94;
2024-06-20 03:50:12;28.09;740.56;39.94;
2024-06-20 03:51:12;28.08;740.53;39.93;
2024-06-20 03:52:12;28.08;740.52;39.97;
2024-06-20 03:53:12;28.08;740.54;39.93;
2024-06-20 03:54:12;28.07;740.53;39.96;
2024-06-20 03:55:12;28.07;740.52;39.97;
2024-06-20 03:56:12;28.07;740.5;39.98;
2024-06-20 03:57:12;28.07;740.49;39.96;
2024-06-20 03:58:12;28.07;740.48;39.96;
2024-06-20 03:59:12;28.07;740.49;39.96;
2024-06-20 04:00:12;28.07;740.5;39.99;
2024-06-20 04:01:13;28.07;740.48;40;
2024-06-20 04:02:12;28.07;740.44;40;
2024-06-20 04:03:13;28.07;740.45;40.01;
2024-06-20 04:04:13;28.08;740.45;39.97;
2024-06-20 04:05:13;28.07;740.45;39.98;
2024-06-20 04:06:13;28.08;740.45;40.01;
2024-06-20 04:07:13;28.08;740.45;39.98;
2024-06-20 04:08:13;28.08;740.43;40;
2024-06-20 04:09:13;28.09;740.43;39.99;
2024-06-20 04:10:13;28.09;740.42;40;
2024-06-20 04:11:13;28.09;740.43;39.96;
2024-06-20 04:12:13;28.1;740.42;39.99;
2024-06-20 04:13:13;28.1;740.38;39.99;
2024-06-20 04:14:13;28.1;740.38;39.97;
2024-06-20 04:15:14;28.1;740.42;39.96;
2024-06-20 04:16:14;28.1;740.38;39.99;
2024-06-20 04:17:14;28.1;740.37;40;
2024-06-20 04:18:14;28.09;740.35;39.99;
2024-06-20 04:19:14;28.09;740.33;39.99;
2024-06-20 04:20:14;28.09;740.31;40;
2024-06-20 04:21:14;28.09;740.3;40;
2024-06-20 04:22:14;28.09;740.3;40;
2024-06-20 04:23:14;28.09;740.31;40;
2024-06-20 04:24:14;28.08;740.3;40.02;
2024-06-20 04:25:14;28.08;740.27;40.03;
2024-06-20 04:26:14;28.08;740.26;40.04;
2024-06-20 04:27:15;28.09;740.24;40.08;
2024-06-20 04:28:15;28.08;740.22;40.03;
2024-06-20 04:29:15;28.07;740.22;40.08;
2024-06-20 04:30:15;28.08;740.22;40.09;
2024-06-20 04:31:15;28.08;740.21;40.05;
2024-06-20 04:32:15;28.08;740.21;40.09;
2024-06-20 04:33:15;28.08;740.21;40.09;
2024-06-20 04:34:15;28.08;740.25;40.1;
2024-06-20 04:35:15;28.07;740.25;40.11;
2024-06-20 04:36:15;28.07;740.24;40.11;
2024-06-20 04:37:15;28.07;740.26;40.11;
2024-06-20 04:38:15;28.07;740.24;40.1;
2024-06-20 04:39:15;28.07;740.3;40.15;
2024-06-20 04:40:15;28.07;740.25;40.13;
2024-06-20 04:41:15;28.07;740.22;40.12;
2024-06-20 04:42:16;28.07;740.23;40.11;
2024-06-20 04:43:21;28.07;740.19;40.12;
2024-06-20 04:44:16;28.07;740.19;40.11;
2024-06-20 04:45:16;28.07;740.16;40.11;
2024-06-20 04:46:16;28.08;740.15;40.1;
2024-06-20 04:47:16;28.07;740.15;40.15;
2024-06-20 04:48:16;28.07;740.11;40.13;
2024-06-20 04:49:16;28.07;740.12;40.15;
2024-06-20 04:50:16;28.07;740.09;40.16;
2024-06-20 04:51:17;28.07;740.11;40.15;
2024-06-20 04:52:16;28.07;740.05;40.15;
2024-06-20 04:53:16;28.08;740.1;40.13;
2024-06-20 04:54:17;28.08;740.07;40.15;
2024-06-20 04:55:17;28.08;740.06;40.16;
2024-06-20 04:56:17;28.08;740.06;40.17;
2024-06-20 04:57:17;28.07;740.04;40.16;
2024-06-20 04:58:17;28.08;740.1;40.15;
2024-06-20 04:59:17;28.08;740.07;40.19;
2024-06-20 05:00:17;28.08;740.05;40.17;
2024-06-20 05:01:17;28.07;740.04;40.19;
2024-06-20 05:02:17;28.07;740.05;40.19;
2024-06-20 05:03:17;28.08;740.04;40.18;
2024-06-20 05:04:17;28.07;740.02;40.19;
2024-06-20 05:05:17;28.08;740.03;40.21;
2024-06-20 05:06:17;28.07;740.01;40.22;
2024-06-20 05:07:17;28.08;740.01;40.23;
2024-06-20 05:08:17;28.08;740.01;40.21;
2024-06-20 05:09:17;28.08;739.99;40.19;
2024-06-20 05:10:18;28.08;739.97;40.17;
2024-06-20 05:11:18;28.08;739.98;40.22;
2024-06-20 05:12:18;28.07;739.98;40.25;
2024-06-20 05:13:18;28.07;740;40.24;
2024-06-20 05:14:18;28.08;739.97;40.25;
2024-06-20 05:15:18;28.07;739.96;40.23;
2024-06-20 05:16:18;28.08;739.97;40.21;
2024-06-20 05:17:18;28.08;740;40.23;
2024-06-20 05:18:18;28.08;739.98;40.23;
2024-06-20 05:19:18;28.08;739.99;40.24;
2024-06-20 05:20:18;28.08;739.99;40.21;
2024-06-20 05:21:18;28.09;739.97;40.22;
2024-06-20 05:22:18;28.09;739.94;40.22;
2024-06-20 05:23:19;28.09;739.98;40.21;
2024-06-20 05:24:19;28.09;740;40.2;
2024-06-20 05:25:19;28.1;740;40.2;
2024-06-20 05:26:19;28.1;739.98;40.22;
2024-06-20 05:27:19;28.11;739.97;40.23;
2024-06-20 05:28:19;28.1;739.91;40.23;
2024-06-20 05:29:19;28.11;739.91;40.21;
2024-06-20 05:30:19;28.11;739.88;40.22;
2024-06-20 05:31:19;28.12;739.9;40.2;
2024-06-20 05:32:19;28.11;739.85;40.24;
2024-06-20 05:33:19;28.11;739.83;40.2;
2024-06-20 05:34:19;28.12;739.8;40.15;
2024-06-20 05:35:19;28.11;739.79;40.22;
2024-06-20 05:36:20;28.12;739.76;40.17;
2024-06-20 05:37:19;28.12;739.79;40.21;
2024-06-20 05:38:20;28.12;739.79;40.2;
2024-06-20 05:39:20;28.11;739.79;40.24;
2024-06-20 05:40:20;28.12;739.81;40.19;
2024-06-20 05:41:20;28.12;739.83;40.24;
2024-06-20 05:42:20;28.12;739.79;40.21;
2024-06-20 05:43:20;28.12;739.76;40.24;
2024-06-20 05:44:20;28.13;739.74;40.26;
2024-06-20 05:45:20;28.12;739.71;40.24;
2024-06-20 05:46:20;28.13;739.69;40.23;
2024-06-20 05:47:20;28.14;739.65;40.2;
2024-06-20 05:48:21;28.14;739.63;40.18;
2024-06-20 05:49:20;28.14;739.6;40.23;
2024-06-20 05:50:21;28.14;739.61;40.2;
2024-06-20 05:51:21;28.14;739.59;40.2;
2024-06-20 05:52:21;28.14;739.55;40.22;
2024-06-20 05:53:21;28.14;739.56;40.18;
2024-06-20 05:54:21;28.13;739.55;40.25;
2024-06-20 05:55:21;28.14;739.55;40.26;
2024-06-20 05:56:21;28.14;739.55;40.25;
2024-06-20 05:57:21;28.15;739.53;40.21;
2024-06-20 05:58:21;28.14;739.49;40.25;
2024-06-20 05:59:21;28.15;739.49;40.2;
2024-06-20 06:00:21;28.14;739.46;40.25;
2024-06-20 06:01:21;28.14;739.44;40.25;
2024-06-20 06:02:21;28.14;739.41;40.28;
2024-06-20 06:03:21;28.15;739.4;40.23;
2024-06-20 06:04:21;28.15;739.37;40.26;
2024-06-20 06:05:22;28.15;739.4;40.25;
2024-06-20 06:06:22;28.14;739.37;40.28;
2024-06-20 06:07:22;28.14;739.38;40.33;
2024-06-20 06:08:22;28.14;739.34;40.29;
2024-06-20 06:09:22;28.14;739.37;40.29;
2024-06-20 06:10:22;28.14;739.38;40.32;
2024-06-20 06:11:22;28.14;739.38;40.27;
2024-06-20 06:12:22;28.13;739.42;40.28;
2024-06-20 06:13:22;28.14;739.46;40.3;
2024-06-20 06:14:22;28.14;739.51;40.3;
2024-06-20 06:15:22;28.14;739.51;40.29;
2024-06-20 06:16:22;28.14;739.51;40.29;
2024-06-20 06:17:22;28.15;739.5;40.28;
2024-06-20 06:18:22;28.14;739.48;40.32;
2024-06-20 06:19:23;28.14;739.49;40.34;
2024-06-20 06:20:23;28.14;739.49;40.33;
2024-06-20 06:21:23;28.15;739.48;40.38;
2024-06-20 06:22:23;28.14;739.43;40.4;
2024-06-20 06:23:23;28.14;739.41;40.34;
2024-06-20 06:24:23;28.15;739.37;40.3;
2024-06-20 06:25:23;28.15;739.37;40.35;
2024-06-20 06:26:23;28.15;739.32;40.38;
2024-06-20 06:27:23;28.15;739.3;40.34;
2024-06-20 06:28:23;28.15;739.29;40.32;
2024-06-20 06:29:24;28.16;739.29;40.34;
2024-06-20 06:30:24;28.16;739.23;40.32;
2024-06-20 06:31:23;28.17;739.21;40.28;
2024-06-20 06:32:23;28.17;739.13;40.28;
2024-06-20 06:33:24;28.18;739.11;40.27;
2024-06-20 06:34:23;28.19;739.07;40.28;
2024-06-20 06:35:23;28.19;739.03;40.26;
2024-06-20 06:36:24;28.19;739.04;40.26;
2024-06-20 06:37:24;28.2;739;40.26;
2024-06-20 06:38:24;28.2;739.05;40.24;
2024-06-20 06:39:24;28.2;739.02;40.26;
2024-06-20 06:40:24;28.2;739.03;40.27;
